"Task","Status","BranchCov","BranchMissed","BranchTotal","LineCov"
"Java3_belowZero","PASS","100%","0","4","100%"
"Java45_triangleArea","PASS","N/A (no branches)%","0","0","100%"
"Java52_belowThreshold","PASS","100%","0","4","100%"
"Java53_add","PASS","N/A (no branches)%","0","0","100%"
"Java64_vowelsCount","PASS","100%","0","6","100%"
"Java79_decimalToBinary","PASS","N/A (no branches)%","0","0","100%"
"Java85_add","PASS","100%","0","4","100%"
"Java109_moveOneBall","PASS","90%","1","10","90%"
"Java119_matchParens","PASS","100%","0","12","100%"
"Java124_validDate","PASS","66.7%","8","24","78.9%"
